Time;Open;High;Low;Close;Volume;Spread
2015.12.30 10:01;11,00;11,00;11,00;11,00;2;1
2015.12.30 10:05;11,00;11,00;11,00;11,00;1;1
2015.12.30 10:18;10,99;10,99;10,99;10,99;1;1
2015.12.30 10:22;10,99;10,99;10,99;10,99;1;1
2015.12.30 10:26;11,00;11,00;11,00;11,00;1;1
2015.12.30 10:40;11,00;11,00;11,00;11,00;1;1
2015.12.30 10:43;11,00;11,00;10,99;11,00;3;1
2015.12.30 10:51;11,00;11,00;11,00;11,00;2;1
2015.12.30 10:57;11,00;11,00;11,00;11,00;1;1
2015.12.30 11:00;11,00;11,00;11,00;11,00;1;1
2015.12.30 11:12;11,00;11,00;11,00;11,00;2;1
2015.12.30 11:17;11,00;11,00;11,00;11,00;1;1
2015.12.30 11:21;11,00;11,00;11,00;11,00;1;1
2015.12.30 11:25;11,00;11,00;11,00;11,00;2;1
2015.12.30 11:28;11,01;11,01;11,01;11,01;1;1
2015.12.30 11:29;11,01;11,01;11,01;11,01;2;1
2015.12.30 11:33;11,05;11,05;11,00;11,00;5;1
2015.12.30 11:36;11,05;11,05;11,05;11,05;1;1
2015.12.30 11:42;11,05;11,05;11,05;11,05;2;1
2015.12.30 11:43;11,00;11,00;11,00;11,00;1;1
2015.12.30 11:47;11,05;11,05;11,05;11,05;1;1
2015.12.30 11:48;11,05;11,05;11,00;11,00;7;1
2015.12.30 11:49;11,05;11,05;11,05;11,05;1;1
2015.12.30 11:58;11,05;11,05;11,05;11,05;1;1
2015.12.30 12:19;11,05;11,05;11,05;11,05;1;1
2015.12.30 12:24;11,05;11,05;11,05;11,05;1;1
2015.12.30 12:25;11,05;11,05;11,05;11,05;1;1
2015.12.30 12:50;11,05;11,05;11,05;11,05;1;1
2015.12.30 12:57;10,99;10,99;10,96;10,96;2;1
2015.12.30 12:59;11,05;11,05;11,05;11,05;1;1
2015.12.30 13:03;11,05;11,05;11,05;11,05;1;1
2015.12.30 13:17;11,05;11,05;11,05;11,05;1;1
2015.12.30 13:22;11,05;11,05;11,05;11,05;1;1
2015.12.30 13:25;11,05;11,05;11,05;11,05;1;1
2015.12.30 13:47;11,05;11,05;11,05;11,05;2;1
2015.12.30 13:50;11,01;11,01;11,00;11,00;3;1
2015.12.30 14:04;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:05;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:15;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:25;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:35;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:40;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:45;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:46;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:50;11,05;11,05;11,05;11,05;1;1
2015.12.30 14:54;11,05;11,07;11,05;11,07;3;1
2015.12.30 14:55;11,06;11,06;11,06;11,06;1;1
2015.12.30 15:00;11,07;11,07;11,07;11,07;1;1
2015.12.30 15:01;11,06;11,06;11,06;11,06;1;1
2015.12.30 15:02;11,07;11,07;11,07;11,07;1;1
2015.12.30 15:05;11,07;11,07;11,07;11,07;1;1
2015.12.30 15:10;11,07;11,07;11,07;11,07;1;1
2015.12.30 15:13;11,07;11,07;11,07;11,07;3;1
2015.12.30 15:16;11,06;11,06;11,05;11,05;2;1
2015.12.30 15:22;11,05;11,05;11,05;11,05;2;1
2015.12.30 15:24;11,00;11,00;11,00;11,00;5;1
2015.12.30 15:25;11,05;11,05;11,05;11,05;1;1
2015.12.30 15:28;11,03;11,04;11,03;11,04;2;1
2015.12.30 15:29;11,00;11,04;11,00;11,04;3;1
2015.12.30 15:30;11,04;11,04;11,00;11,00;2;1
2015.12.30 15:31;11,00;11,00;11,00;11,00;1;1
2015.12.30 15:35;11,02;11,02;11,02;11,02;1;1
2015.12.30 15:40;11,00;11,03;11,00;11,03;2;1
2015.12.30 15:45;11,02;11,03;11,02;11,03;2;1
2015.12.30 15:50;11,00;11,00;11,00;11,00;1;1
2015.12.30 15:51;11,02;11,03;11,02;11,03;2;1
2015.12.30 15:55;11,00;11,00;11,00;11,00;1;1
2015.12.30 15:57;11,00;11,02;11,00;11,02;2;1
2015.12.30 15:58;11,03;11,04;11,03;11,04;3;1
2015.12.30 15:59;11,04;11,05;11,02;11,05;4;1
2015.12.30 16:00;11,02;11,05;11,02;11,02;3;1
2015.12.30 16:01;11,02;11,02;11,02;11,02;1;1
2015.12.30 16:02;11,02;11,02;11,02;11,02;2;1
2015.12.30 16:03;11,02;11,02;11,02;11,02;2;1
2015.12.30 16:04;11,02;11,02;11,01;11,01;2;1
2015.12.30 16:05;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:06;11,00;11,00;11,00;11,00;2;1
2015.12.30 16:07;11,00;11,00;11,00;11,00;2;1
2015.12.30 16:10;11,00;11,04;11,00;11,04;2;1
2015.12.30 16:18;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:25;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:31;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:35;11,00;11,03;11,00;11,00;5;1
2015.12.30 16:39;11,00;11,03;11,00;11,03;2;1
2015.12.30 16:40;11,00;11,03;11,00;11,03;2;1
2015.12.30 16:42;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:44;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:45;11,00;11,03;11,00;11,03;2;1
2015.12.30 16:49;11,00;11,03;11,00;11,00;4;1
2015.12.30 16:50;11,01;11,01;11,01;11,01;1;1
2015.12.30 16:51;11,01;11,01;11,00;11,00;3;1
2015.12.30 16:52;11,00;11,00;11,00;11,00;1;1
2015.12.30 16:53;11,00;11,04;11,00;11,00;9;1
2015.12.30 16:54;11,03;11,04;11,02;11,02;5;1
2015.12.30 16:55;11,03;11,03;11,03;11,03;1;1
2015.12.30 16:56;11,02;11,02;11,00;11,00;4;1
2015.12.30 16:57;11,00;11,00;11,00;11,00;3;1
2015.12.30 16:58;11,03;11,04;11,00;11,00;5;1
2015.12.30 16:59;11,00;11,00;11,00;11,00;3;1
2015.12.30 17:00;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:01;11,01;11,01;11,00;11,00;3;1
2015.12.30 17:02;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:08;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:09;11,02;11,02;11,02;11,02;1;1
2015.12.30 17:11;11,00;11,02;11,00;11,02;4;1
2015.12.30 17:12;11,02;11,03;11,01;11,01;4;1
2015.12.30 17:16;11,01;11,01;11,00;11,00;4;1
2015.12.30 17:17;11,00;11,02;11,00;11,00;4;1
2015.12.30 17:18;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:19;11,00;11,00;11,00;11,00;4;1
2015.12.30 17:20;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:21;11,00;11,03;11,00;11,01;5;1
2015.12.30 17:22;11,02;11,04;11,00;11,04;5;1
2015.12.30 17:23;11,00;11,00;11,00;11,00;4;1
2015.12.30 17:24;11,02;11,02;11,00;11,00;4;1
2015.12.30 17:25;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:26;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:27;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:32;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:33;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:34;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:35;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:38;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:41;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:43;11,00;11,00;11,00;11,00;2;1
2015.12.30 17:45;11,00;11,00;11,00;11,00;1;1
2015.12.30 17:47;11,03;11,04;11,00;11,00;13;1
2015.12.30 17:48;11,04;11,04;11,04;11,04;1;1
2015.12.30 17:49;11,04;11,04;11,03;11,03;20;1
2015.12.29 10:08;11,08;11,09;11,08;11,09;3;1
2015.12.29 10:26;11,08;11,08;11,08;11,08;1;1
